control,run,variant,pearson_ic,rank_ic_1,rank_ic_t,rank_ic_5,net_pct,sharpe,n_days
control2,set1_v2_seed44,ensemble,0.010470986207048203,0.009223066787948795,1.6433152530078359,0.017931351110471807,-40.09831427038104,-0.4197256289657906,1258
control2,set2_core7_seed42,single,0.017428633532329724,0.01689302991159265,3.220023914457318,0.016351727293788337,5.1263148994863785,0.06330879365483986,1258
control2,set2_core7_seed42,ensemble,0.02210341209123659,0.022368053741390694,3.737452853382586,0.025804212515532467,30.79234382792546,0.3008351546579027,1258
control2,set2_core7_seed43,single,0.020347737986794543,0.0186703931639681,3.410605797133443,0.02526828913383533,21.82935261887284,0.22929376454866351,1258
control2,set2_core7_seed43,ensemble,0.020218626130223245,0.021025394856355843,3.443725978089427,0.029174418360522158,16.29884944974977,0.16694062263894674,1258
control2,set2_core7_seed44,single,0.013656797258672342,0.015574633512562216,2.9442389148046324,0.02124401913875599,-40.766637031858465,-0.4838117174288796,1258
control2,set2_core7_seed44,ensemble,0.02245721045570529,0.023817040846569184,3.963509299829752,0.026208288407160735,36.08618944214005,0.3683949597681772,1258
control2,set2_v2_seed42,single,0.015071640474970342,0.017352537005934855,3.1245488263198062,0.01733753788596778,-18.19894456895556,-0.20885487648715598,1258
control2,set2_v2_seed42,ensemble,0.02519853870703811,0.026749620952487396,4.236297823378296,0.0277137166281571,26.50183660484523,0.2637119567401927,1258
control2,set2_v2_seed43,single,0.012300911310754078,0.0133093821827042,2.449378227994326,0.01535940692066298,-19.168992319344767,-0.2271384897358603,1258
control2,set2_v2_seed43,ensemble,0.027843108610675005,0.027285161279803946,4.358353324389106,0.029327974972544992,52.810581533377785,0.5371247510448088,1258
control2,set2_v2_seed44,single,0.014717530599631719,0.017026361991895736,3.058920380136276,0.01745808371195371,1.604262089838709,0.017623331980723883,1258
control2,set2_v2_seed44,ensemble,0.02495794076290732,0.02683424587776621,4.226333600485079,0.02450935933475283,14.911202126638228,0.14646688865550112,1258
control2,set3_core7_seed42,single,0.0015278194289748703,0.002803648314592443,0.5626285787298454,0.0035540340538129066,-52.0432196794672,-0.6373938684334115,1258
control2,set3_core7_seed42,ensemble,0.006085845645764903,0.006620377593602437,1.196809961222523,0.0129796313775138,-28.612758571880253,-0.3143983661414866,1258
control2,set3_core7_seed43,single,-0.0012786306371671801,0.00380402903943099,0.7558160514246968,0.010492311757238781,-59.83061381353869,-0.7396700209875946,1258
control2,set3_core7_seed43,ensemble,0.004901400912395082,0.00542438078867931,0.9798424643801454,0.017020535144574377,-42.72288316034948,-0.4876732635314209,1258
control2,set3_core7_seed44,single,0.002324394175748687,0.006817025475906584,1.3862916091808861,0.010004307943272998,-7.615286081165958,-0.09640918398218724,1258
control2,set3_core7_seed44,ensemble,0.004917484445719296,0.00805333788368804,1.443265261373692,0.012264136534466062,-22.229931718924714,-0.24772800143506887,1258
control2,set3_v2_seed42,single,0.013147616079877631,0.011688353071421593,2.2813780859665966,0.013831293282863396,-12.833004216859239,-0.1552506763158596,1258
control2,set3_v2_seed42,ensemble,0.016189671271001852,0.01754791487930415,3.0819342125698688,0.023096257231383074,42.91829810513998,0.46473730780189443,1258
control2,set3_v2_seed43,single,0.011328756222095473,0.01356341005172846,2.62078139963026,0.01012347522741154,9.918246266637103,0.11149435024522364,1258
control2,set3_v2_seed43,ensemble,0.012839463557539328,0.017116310387944988,2.8894996466425726,0.02198627275486037,29.36934283108305,0.3018628527249813,1258
control2,set3_v2_seed44,single,0.019931446183080195,0.01690074186615285,3.300306344856676,0.011625013641820385,79.16655474992432,0.9179231064382032,1258
control2,set3_v2_seed44,ensemble,0.020556305757773737,0.02041698291669341,3.5675107431752484,0.031213552626801977,89.53787896743097,0.9766512100082773,1258
