suite,strategy,panel,seed,net_pct,sharpe,mdd_pct,turnover,cost_pct,n_days
40isl,sleeves_h5,set1,51,37.20931460411083,0.4880782970344895,30.289156463176898,0.18821626525307958,8.700178546653197,1249
40isl,rank_weight,set1,51,28.516105327540554,0.3452474513703255,38.40044923183473,0.11998175794917514,5.624566346579577,1249
40isl,banded15,set1,51,61.259111764548734,0.7337004763087492,27.844629741815822,0.1271550996095583,6.700542612560164,1249
40isl,banded25,set1,51,35.041848448806604,0.44805711290964606,19.30695758365931,0.0465903486863854,2.305059066620858,1249
40isl,beta_neutral,set1,51,13.758323338875197,0.17231462042913254,32.51303843782563,0.13071018929167819,5.683684619451381,1249
40isl,long_only,set1,51,79.59407714558897,0.6421802533604861,55.397635380013014,0.05492534677016456,2.946277762818499,1249
40isl,sleeves_reg,set2,42,70.50458459878931,1.1875584966574178,22.440635183944153,0.1329791212418314,6.7986125256262,1251
40isl,sleeves_h5,set2,42,70.68133259479893,1.0692365010448655,23.94924269771858,0.25144591767904134,12.962280944148528,1251
40isl,rank_weight,set2,42,81.75221922968768,1.1945129450570204,20.240799061879517,0.14476653071971718,7.768087606028974,1251
40isl,banded15,set2,42,86.50817238718356,1.022334946948756,19.490772923052344,0.4522134874765749,23.84028148396019,1251
40isl,banded25,set2,42,54.89990874227002,0.6599884488820484,28.58954398591347,0.18962899435647337,10.595357154468372,1251
40isl,beta_neutral,set2,42,47.42309462777118,0.7276556687345027,20.107372857978394,0.15756054090884605,7.5784247921386045,1251
40isl,long_only,set2,42,117.5921236783759,0.9316919970897708,47.43607718248951,0.06662937355893024,4.263185847444875,1251
40isl,sleeves_reg,set2,43,81.8367946975255,1.2746882486760405,22.18546205720137,0.13139085034026507,6.672079876864884,1251
40isl,sleeves_h5,set2,43,80.55109818720489,1.1625219989310827,24.19892578228362,0.2401435428162898,12.232946484528348,1251
40isl,rank_weight,set2,43,94.91671446001861,1.2493499693492998,25.32018667404064,0.14377719059324098,7.486833937544949,1251
40isl,banded15,set2,43,102.47382301133892,1.1530741196596683,18.129827558436958,0.35005035442987587,19.232971009986183,1251
40isl,banded25,set2,43,80.35903788678192,0.9169223820172737,28.69351359932369,0.1527116077795017,8.556068896419163,1251
40isl,beta_neutral,set2,43,61.43643357749394,0.8701275365869463,22.100688526153625,0.15583464794116222,7.5444525066683195,1251
40isl,long_only,set2,43,119.9108710953386,0.9310171299713983,49.69300876025752,0.06471502146532561,3.8286339071064037,1251
40isl,sleeves_reg,set2,44,53.712339192234836,0.8256136283802903,24.882035058440927,0.14087708132028315,7.1424899135191735,1251
40isl,sleeves_h5,set2,44,48.51169032469479,0.6547088306513741,32.07688173279552,0.26983160658959415,13.638009181196782,1251
40isl,rank_weight,set2,44,66.7519288807251,0.8812540614828356,27.84380795798563,0.15304867001260233,7.970478258673055,1251
40isl,banded15,set2,44,66.85122244476153,0.6818210696196667,37.02506107650746,0.49675837791914856,25.39711167068525,1251
40isl,banded25,set2,44,53.30806643152811,0.6138757365439136,22.80001414630575,0.22056769547344032,11.72978104444096,1251
40isl,beta_neutral,set2,44,39.84863192384795,0.561229126486764,24.0110030623688,0.16088946089317616,7.868775940604528,1251
40isl,long_only,set2,44,103.34297386855084,0.800985925204655,48.80581756751179,0.06889287712538145,4.130570351857431,1251
40isl,sleeves_reg,set2,45,70.81919241145732,1.1185323832344236,18.99643357283738,0.13557322233354355,6.906810139404412,1251
