arm,panel,seed,ens_ic,ens_net,ens_sh,gb_ic,gb_net,gb_sh
hp_W3_P1_pa04,set1,42,0.017369325014642886,44.39360502470719,1.4350524289997202,0.013575347489805554,45.32878498961956,1.5985706140405482
hp_W3_P1_pa04,set1,43,0.013612040152013675,41.817751914700246,1.698009387033232,0.01202045916214438,33.809871239310134,1.1132341127411354
hp_W3_P1_pa04,set1,44,0.018765150826237777,43.688312698175075,1.5040356964321668,0.009679523985986118,34.74808824109112,1.167368622811985
hp_W3_P1_pa04,set2,42,0.014940380216552664,22.117034280234485,0.8156581748925015,0.015255439786224621,27.970950646344917,1.039587903214883
hp_W3_P1_pa04,set2,43,0.015234100863768614,25.63361158072362,0.973254388425675,0.013433663598818426,11.260366318069522,0.5085874562073739
hp_W3_P1_pa04,set2,44,0.016167507202111523,7.992223495486334,0.37833724467951835,0.011599507576695877,8.429731570558484,0.39618418055548793
hp_W3_P2_pa08,set1,42,0.018915129716799806,44.86185079830018,1.4774942128126058,0.003525643164592555,37.45779621596896,1.123799640125786
hp_W3_P2_pa08,set1,43,0.012118336841457156,47.59026324111976,1.5709610129843763,0.009874651709225373,36.72953788810775,1.1941617714125803
hp_W3_P2_pa08,set1,44,0.013040442847082296,26.821898899933394,0.8499471868003131,0.017972299190306833,24.445125286399776,0.7788514575896088
hp_W3_P2_pa08,set2,42,0.012615780083244989,13.412995332287336,0.5157724743311981,0.009648691692226645,-6.535791324194928,-0.2902758454299262
hp_W3_P2_pa08,set2,43,0.01871070716913438,20.49028530930994,0.8551171912732712,0.0017708765066651296,-2.038322806983345,-0.09202212589739721
hp_W3_P2_pa08,set2,44,0.014244125201200447,13.294423226851201,0.5922056799595156,0.008195395873962844,5.98271670761453,0.24835209404543818
hp_W3_P3_pl021,set1,42,0.012800786475918735,46.908664946771225,1.431780698299569,0.00699642953783851,22.58876700516276,0.8145233497427279
hp_W3_P3_pl021,set1,43,0.018596709972577577,48.75928871333671,1.5536548806921913,0.01068550981892859,26.750839800521263,0.8410082973132326
hp_W3_P3_pl021,set1,44,0.020330822467340127,60.06943749781774,1.8721404675493531,0.01245542207488221,25.027890832953364,0.7251478767969288
hp_W3_P3_pl021,set2,42,0.016127388770147407,8.718932763964895,0.3218482753543699,0.003790646089557163,-5.7896272491282845,-0.24977563558143384
hp_W3_P3_pl021,set2,43,0.020669089665280877,29.923360888478562,1.296819464433971,0.011122890250877959,15.1163525414484,0.5701204594460292
hp_W3_P3_pl021,set2,44,0.0010516674788089543,5.03488063791968,0.16720511694231094,0.0017724175750451184,-7.795812967040326,-0.27209218547532205
