arm,panel,seed,year,n_days,net_pct,sharpe
periodic_lstm_monthly,set1_core7,44,2022,251,-7.725865792020306,-0.6090352707467309
periodic_lstm_monthly,set1_core7,44,2023,250,1.8887888141573925,0.20651412260121008
periodic_lstm_monthly,set1_core7,44,2024,252,14.669583242264514,1.4653401007492879
periodic_lstm_monthly,set2_core7,42,2020,253,7.890855534273092,0.42772738778839925
periodic_lstm_monthly,set2_core7,42,2021,252,12.407731938854791,1.4164853043368428
periodic_lstm_monthly,set2_core7,42,2022,251,-5.597701806390227,-0.53094883674382
periodic_lstm_monthly,set2_core7,42,2023,250,8.32471166721641,0.9595138302695726
periodic_lstm_monthly,set2_core7,42,2024,252,14.320523242513561,1.8880708944497413
periodic_lstm_monthly,set2_core7,43,2020,253,22.563885092628148,1.7644521773023998
periodic_lstm_monthly,set2_core7,43,2021,252,20.331354084982213,2.394580387469064
periodic_lstm_monthly,set2_core7,43,2022,251,16.900747332567985,1.7866079993089627
periodic_lstm_monthly,set2_core7,43,2023,250,2.458304348314994,0.2876148893530212
periodic_lstm_monthly,set2_core7,43,2024,252,18.616007905154763,2.371265943651005
periodic_lstm_monthly,set2_core7,44,2020,253,20.545538987913144,1.3861606793191774
periodic_lstm_monthly,set2_core7,44,2021,252,19.430013041539375,2.1529586171956634
periodic_lstm_monthly,set2_core7,44,2022,251,4.621411439386399,0.4530064916262099
periodic_lstm_monthly,set2_core7,44,2023,250,2.8480374003642206,0.3141473624036932
periodic_lstm_monthly,set2_core7,44,2024,252,16.556064182758952,2.273356685006314
periodic_lstm_monthly,set3_core7,42,2020,253,6.025746760371793,0.34224740609817206
periodic_lstm_monthly,set3_core7,42,2021,252,14.676386456138962,1.1680216009108109
periodic_lstm_monthly,set3_core7,42,2022,251,-11.041099965087511,-0.7751920842778032
periodic_lstm_monthly,set3_core7,42,2023,250,18.88967708640496,2.096492148174715
periodic_lstm_monthly,set3_core7,42,2024,252,5.822927573575676,0.6275485390702794
periodic_lstm_monthly,set3_core7,43,2020,253,13.031249517060656,0.8175789447598891
periodic_lstm_monthly,set3_core7,43,2021,252,3.3995542370180964,0.2919786917492777
periodic_lstm_monthly,set3_core7,43,2022,251,-1.6590229236104634,-0.1007106707302279
periodic_lstm_monthly,set3_core7,43,2023,250,-4.165382273298485,-0.452223334663121
