islands,panel,seed,net_pct,sharpe,mdd_pct
30,set1,50,17.485752409507278,0.4327435439486913,14.195388117166189
30,set1,51,21.985549322914416,0.554445940482833,13.406309277366072
30,set2,42,35.22637096849914,1.1551437613456461,13.191222398595158
30,set2,43,42.53841201908122,1.372290764902037,15.036529309365996
30,set2,44,31.95093250451817,1.1011817328140043,12.202048064537308
30,set2,45,38.282248917981086,1.1347360624501475,14.953380766293536
30,set2,46,42.661510842771634,1.4425944185573851,10.664578375191303
30,set2,47,47.585666748369064,1.7086491597536044,11.734364834175313
30,set2,48,39.052135476402235,1.4724640504471593,12.787546874754579
30,set2,49,41.72237027340648,1.5384089166239454,10.947553950805814
30,set2,50,39.01295927844445,1.2876166311048802,13.509350154852179
30,set2,51,33.00387173799527,1.2766396916942255,12.918339291825312
30,set3,42,7.692906866812317,0.20761086137308257,22.233081488702307
30,set3,43,4.158786142382079,0.10931878256500256,17.771363785102174
30,set3,44,18.626862331167548,0.45306714820762745,20.041044824749573
30,set3,45,22.683060251727273,0.6365247494553593,14.470829038464597
30,set3,46,22.196390588823988,0.5768995386301029,19.734999145439776
30,set3,47,10.199619412942305,0.24737116117203062,22.154649950842863
30,set3,48,16.76316009112804,0.3858429684508024,20.545281744947218
30,set3,49,10.535780366755226,0.26628442217059184,16.28697803251201
30,set3,50,14.001445273383032,0.37927516732005956,20.964763875934185
30,set3,51,18.164195042297518,0.4847635021374623,17.326896280495514
30,set4,42,38.32283257134728,1.3427738929943684,8.341194838854078
30,set4,43,21.031021362577537,0.6815967796129985,10.679214547634
30,set4,44,31.484729994869156,1.0567498097387968,8.842752255841063
30,set4,45,31.103863130581473,1.1641129300687285,6.432413140015672
30,set4,46,20.079787642393722,0.6677624167273833,13.054450190970337
30,set4,47,11.021870572556242,0.5270819209679193,10.237539273697102
30,set4,48,39.51122674170977,1.2913668992745204,8.197171178783524
30,set4,49,24.58025537819942,0.8291381023590807,9.942212892926408
30,set4,50,36.57685461760822,1.300475341230535,7.80821816932587
30,set4,51,32.41652532786842,1.1438581016186216,7.929636088699504
40,set1,42,36.837481980755186,0.9132079569474356,9.622373332296466
40,set1,43,22.39919622482558,0.5120226823299137,12.216405705692635
40,set1,44,13.075933927550517,0.33706490490313745,13.618602890928447
40,set1,45,23.188851341664908,0.702319785758529,11.243387669288015
40,set1,46,26.685176744531162,0.7604848608139646,10.030930674954641
40,set1,47,23.63578355656162,0.5953373341872124,9.790341322691296
40,set1,48,19.822869754690586,0.5642214907196816,14.381414237993226
40,set1,49,20.064181301214226,0.535887553229191,11.693383023397185
40,set1,50,28.54472938734267,0.7115906857827552,9.265725738553938
40,set1,51,17.04985733737984,0.4327092906430034,10.266882436384936
40,set2,42,36.13023670761541,1.296078376950863,14.761186977588133
40,set2,43,42.54484643129063,1.3432266038946623,13.239780796115113
40,set2,44,22.7707271122356,0.7919582054748328,13.109421736473594
40,set2,45,35.064130442972505,1.2556153527461897,15.062762785935663
40,set2,46,25.50738780539329,0.9943915109731088,11.912629422658977
40,set2,47,49.53950669217691,1.6433846641923406,14.029482652526983
40,set2,48,38.0487090628526,1.279587907426356,15.925844520007889
40,set2,49,39.76515031410202,1.307728830265716,10.715520479798887
40,set2,50,43.43557207488205,1.4935009416116458,11.030555958403435
40,set2,51,31.578668286958557,1.1720907315105666,9.923828063986372
40,set3,42,17.499900377299976,0.43214884276752497,20.566627515061437
40,set3,43,24.99593117376594,0.6801917712202789,20.39559924551956
40,set3,44,11.722270414886225,0.30288824037952883,17.14197756538703
40,set3,45,0.13788361988546147,0.004118233391059632,17.3273762267182
40,set3,46,18.35974710774545,0.4333714407358329,20.258272445925005
40,set3,47,16.07155813996341,0.373748157140168,20.25111396684466
40,set3,48,8.159323027218582,0.19200630259230517,20.096576822315036
40,set3,49,25.68427134110013,0.6739474411400665,18.190192380085467
40,set3,50,13.95440471498014,0.352722292293719,16.059000844675186
40,set3,51,8.60572872525768,0.20645052140903028,21.88776559089298
40,set4,42,36.170192125090686,1.275503538173027,6.866901077327331
40,set4,43,37.707316781333624,1.2493144113052679,7.241771096644439
40,set4,44,37.46626938948202,1.248026626600778,9.10124149056007
40,set4,45,37.89982731567423,1.244618753192219,8.53646024744109
40,set4,46,31.89734776507594,1.1226738816706592,9.087683515938792
40,set4,47,31.11076442534223,1.1774861743858165,7.613403557985874
40,set4,48,43.2523359654083,1.5006324415267394,9.530444650538088
40,set4,49,33.36631812201912,1.1480485957370832,10.336970466792481
40,set4,50,27.739127289896587,0.9872609985455856,7.695284269025468
40,set4,51,43.637874963842535,1.5401869528406604,6.828435049340871
50,set1,42,29.28519668868927,0.805103586427019,10.78235359867757
50,set1,43,19.44055343976278,0.5048682023843112,11.646865969073477
50,set1,44,28.253712180782436,0.6626317086726993,13.351617372683364
50,set1,45,18.745525564498536,0.4583797292255311,11.224947820705745
50,set1,46,36.87912534117797,0.9726079548076252,11.306003586294523
50,set1,47,25.694782388913328,0.6113015509936943,15.59151757782154
50,set1,48,30.36753705543662,0.7954886557070306,10.894871276868926
50,set1,49,21.359983195926457,0.5236612830896156,12.281275287106588
50,set1,50,31.016909373166357,0.868646436396722,10.891343310068315
50,set1,51,25.265946829242193,0.667233786089644,12.253062625524521
50,set2,42,48.580057594568636,1.6391036873400544,12.674057033052586
50,set2,43,44.46032175710579,1.5222976659841383,12.750382470369914
50,set2,44,45.115310771901854,1.5694203722899354,12.669166992291276
50,set2,45,44.913146368228944,1.5223745612673731,14.42609911860368
