arm,panel,seed,year,n_days,net_pct,sharpe
gru,set4_core7,44,2017,251,13.700545334089242,2.40534929770062
gru,set4_core7,44,2018,251,-0.5558548554781149,-0.0821403358852649
gru,set4_core7,44,2019,252,4.411822395689151,0.49225483048566265
lstm,set1_core7,42,2015,252,-1.3581705545184144,-0.2524796202376141
lstm,set1_core7,42,2016,252,-15.185442875118744,-2.1604272965865574
lstm,set1_core7,42,2017,251,10.135342923511113,1.807085888161655
lstm,set1_core7,42,2018,251,11.16890147112295,1.771937857664821
lstm,set1_core7,42,2019,252,4.935583079811836,0.7878620334645076
lstm,set1_core7,43,2015,252,-6.621191634001835,-0.9659100692436738
lstm,set1_core7,43,2016,252,4.220830604566922,0.6594201777830566
lstm,set1_core7,43,2017,251,5.21714826958619,0.9746350270390121
lstm,set1_core7,43,2018,251,7.170296199788376,1.2436088631278688
lstm,set1_core7,43,2019,252,9.719294099406525,1.3790559935432622
lstm,set1_core7,44,2015,252,-4.262375025221915,-0.6569717379674731
lstm,set1_core7,44,2016,252,7.846920425871476,1.1543961061420032
lstm,set1_core7,44,2017,251,1.6853621754404555,0.2676300861098394
lstm,set1_core7,44,2018,251,8.294860441860681,1.0575848412382176
lstm,set1_core7,44,2019,252,4.9581011259587795,0.7166213399333321
lstm,set2_core7,42,2015,252,-4.824886250092252,-0.7294165859537692
lstm,set2_core7,42,2016,252,-5.884927038385297,-0.8636727062876507
lstm,set2_core7,42,2017,251,2.8936656572854815,0.5532801606684521
lstm,set2_core7,42,2018,251,-2.5089370214292694,-0.41422108453873674
lstm,set2_core7,42,2019,252,5.734933480714867,0.7585479477073701
lstm,set2_core7,43,2015,252,-2.417083151370306,-0.3755274782366742
lstm,set2_core7,43,2016,252,15.61647909105584,2.4736873497480603
lstm,set2_core7,43,2017,251,-1.3832623032826987,-0.2668991980682741
lstm,set2_core7,43,2018,251,-3.6797491404875973,-0.5493718532164525
lstm,set2_core7,43,2019,252,10.218930274788928,1.520109100105059
lstm,set2_core7,44,2015,252,-3.3319475169926185,-0.5758939039085608
lstm,set2_core7,44,2016,252,3.960052490448422,0.6209044457116442
lstm,set2_core7,44,2017,251,10.188434979099561,1.9992738697588892
